Wall time,Step,Value
1668345968.173561,16095,-127.064208984375
1668345968.2403812,16202,-161.10653686523438
1668345968.2905226,16286,-229.89891052246094
1668345968.3654015,16401,-221.24667358398438
1668345968.4911637,16499,-135.40310668945312
1668345968.5727406,16589,-258.87286376953125
1668345968.6657233,16681,-157.17701721191406
1668345968.7460902,16764,-102.31034851074219
1668345968.8323648,16870,-181.96502685546875
1668345968.9047241,16951,-276.93463134765625
1668345968.9722345,17042,-186.17626953125
1668345969.043693,17148,-175.56558227539062
1668345969.1234455,17263,-295.0615539550781
1668345969.199009,17382,-309.08941650390625
1668345969.3019304,17516,-271.8758544921875
1668345969.366149,17616,-359.1302795410156
1668345969.4494646,17747,-156.1031036376953
1668345969.5278223,17857,-411.41583251953125
1668345969.596111,17954,-281.21337890625
1668345969.7491033,18176,-375.3829345703125
1668345969.8318853,18313,-500.6282958984375
1668345969.9147732,18425,-189.02975463867188
1668345969.9931786,18531,-189.3068389892578
1668345970.0488794,18626,-128.58998107910156
1668345970.1987634,18786,-100.2157974243164
1668345970.2588258,18852,-51.62444305419922
1668345970.3482163,18971,-141.3208465576172
1668345970.5205705,19219,-286.64361572265625
1668345970.5977798,19331,-407.4191589355469
1668345970.6821706,19466,-111.83807373046875
1668345970.7512832,19568,10.208084106445312
1668345970.8021486,19645,-454.21112060546875
1668345970.9418492,19808,-32.83586883544922
1668345971.0305269,19894,-353.3307800292969
1668345971.113678,19993,-533.0478515625
1668345971.1883616,20086,-36.52798080444336
1668345971.2621646,20194,-437.9573669433594
1668345971.3618474,20322,-275.44500732421875
1668345971.4649453,20471,-220.4119110107422
1668345971.5648277,20620,-146.00186157226562
1668345971.6428719,20712,-227.1793212890625
1668345971.7190795,20833,-321.98138427734375
1668345971.8487632,20956,-121.60063171386719
1668345971.9076068,21039,-88.5576171875
1668345971.9903862,21155,-154.47366333007812
1668345972.1655846,21416,-129.2061004638672
1668345972.2485416,21528,-88.9661865234375
1668345972.3429341,21651,-155.57130432128906
1668345972.4383836,21786,-101.27044677734375
1668345972.5145805,21909,-26.91779327392578
1668345972.591761,22015,-130.25344848632812
1668345972.659046,22118,-105.79080200195312
1668345972.770534,22285,-42.62610626220703
1668345972.8650632,22446,-53.92179489135742
1668345972.9492242,22582,-67.81970977783203
1668345973.0167594,22668,-134.99354553222656
1668345973.066057,22741,-165.36068725585938
1668345973.1378686,22848,-119.88461303710938
1668345973.269948,23012,-115.67247772216797
1668345973.3652658,23107,-118.19896697998047
1668345973.422875,23180,-107.88133239746094
1668345973.579456,23298,-146.88002014160156
1668345973.6701949,23414,-207.13795471191406
1668345973.7485926,23522,-200.5601348876953
1668345973.8326507,23644,-182.16180419921875
1668345973.915798,23772,-129.93496704101562
1668345974.0545886,23947,-164.9257354736328
1668345974.1482942,24095,-338.3951416015625
1668345974.1999595,24175,-75.33784484863281
1668345974.2991195,24314,-171.16073608398438
1668345974.3745937,24414,-145.49771118164062
1668345974.481091,24570,-413.821533203125
1668345974.5653057,24690,-232.45175170898438
1668345974.6647701,24827,-66.95478057861328
1668345974.73505,24933,-199.13388061523438
1668345974.822779,25067,-29.863197326660156
1668345974.894913,25171,-196.34515380859375
1668345974.979569,25291,-174.29371643066406
1668345975.0657501,25427,-44.32054138183594
1668345975.1456466,25553,-121.62046813964844
1668345975.2960029,25698,30.324478149414062
1668345975.3968627,25824,-145.07830810546875
1668345975.5154285,25982,-277.114013671875
1668345975.6465163,26129,-98.843017578125
1668345975.7318568,26229,-77.68832397460938
1668345977.975104,27229,-3.217517852783203
1668345978.1994789,27506,-219.23687744140625
1668345978.509406,27833,-237.9385223388672
1668345978.582836,27944,-167.9161376953125
1668345978.6613402,28069,-68.68492889404297
1668345978.7448668,28170,-121.53705596923828
1668345978.810734,28267,-168.25531005859375
1668345978.8855348,28388,-161.1939239501953
1668345978.9659781,28530,-102.13043212890625
1668345979.0647185,28666,-166.4090576171875
1668345979.1960359,28849,-101.39576721191406
1668345979.2736602,28967,-105.44798278808594
1668345979.427881,29122,-76.37821197509766
1668345979.5292325,29273,-76.2049560546875
1668345979.6155179,29409,-133.5453643798828
1668345979.7456887,29564,-114.33306121826172
1668345979.8137004,29659,-53.083335876464844
1668345979.9146986,29813,-164.8359375
1668345979.9988928,29940,-93.31707763671875
1668345980.0981252,30071,-80.70950317382812
1668345980.1829243,30176,-89.22660827636719
1668345980.313973,30316,-113.662841796875
1668345980.5804148,30648,-110.39842987060547
1668345980.8193839,30927,-246.12725830078125
1668345980.906533,31046,-87.0959701538086
1668345980.9823751,31157,-164.49969482421875
1668345981.0824628,31291,-191.42388916015625
1668345981.137959,31380,-184.994140625
1668345981.1956365,31462,-29.092796325683594
1668345981.2823288,31583,-117.26618194580078
1668345981.3655365,31719,-96.87313079833984
1668345981.4794445,31820,-154.94970703125
1668345981.6159623,32014,-99.11917114257812
1668345981.6657977,32099,-89.33375549316406
1668345981.8116462,32271,-81.49319458007812
1668345981.9150815,32431,-111.94314575195312
1668345982.0137556,32545,-61.38463592529297
1668345982.0994384,32676,-138.48361206054688
1668345982.3493676,33037,-127.9067153930664
1668345982.4678726,33184,-141.08706665039062
1668345982.7555099,33451,-80.98844146728516
1668345982.8682103,33615,-145.28707885742188
1668345983.0324323,33805,-190.9772186279297
1668345983.1959898,34082,-130.5286865234375
1668345983.313208,34240,-121.89419555664062
1668345983.3766522,34330,14.931472778320312
1668345983.4414785,34420,-166.4437255859375
1668345983.5668314,34584,-228.8452911376953
1668345983.6800797,34764,-51.41164779663086
1668345983.7964027,34901,-120.56309509277344
1668345983.9641888,35069,-40.09174346923828
1668345984.0522728,35196,-69.55807495117188
1668345984.14891,35331,-45.818572998046875
1668345984.3137436,35539,-209.21463012695312
1668345984.388939,35632,-92.8287353515625
1668345984.464736,35749,-138.3494110107422
1668345984.5489228,35898,-149.92417907714844
1668345984.6646607,36051,-110.68372344970703
1668345984.7747405,36182,-116.01268768310547
1668345984.881581,36302,-133.1389923095703
1668345985.012486,36445,-110.4810791015625
1668345985.1728098,36637,-55.56128692626953
1668345985.3427484,36872,-92.90254211425781
1668345985.4968405,37064,-153.70790100097656
1668345985.5734298,37176,-123.23454284667969
1668345985.6648579,37321,-157.1550750732422
1668345985.7658083,37453,-111.64064025878906
1668345985.8682506,37602,-230.17752075195312
1668345986.0958693,37863,-119.28838348388672
1668345986.2662346,38079,-66.70639038085938
1668345986.3496819,38201,10.574974060058594
1668345986.527954,38364,-48.69249725341797
1668345986.5830076,38442,-42.68346405029297
1668345986.7787116,38690,-75.60791015625
1668345986.83705,38773,-111.95243835449219
1668345986.9197133,38887,-18.16949462890625
1668345987.127648,39122,-92.06067657470703
1668345987.2314734,39249,-26.238037109375
1668345987.5291026,39545,-311.0064392089844
1668345987.7005148,39763,-186.26199340820312
1668345987.9295654,40024,-116.01783752441406
1668345988.0317976,40171,-47.45711135864258
1668345988.1061704,40259,-146.50038146972656
1668345988.1883874,40373,-17.40117645263672
1668345988.3792105,40621,-119.22321319580078
1668345988.4480693,40703,-169.5619354248047
1668345988.5482538,40855,-164.43914794921875
1668345988.6478183,40990,-75.46534729003906
1668345988.7541976,41141,-107.82298278808594
1668345988.8938608,41336,-122.02426147460938
1668345989.1946223,41616,-152.74993896484375
1668345989.2577512,41700,-69.3775634765625
1668345989.3650105,41840,-182.04058837890625
1668345989.562443,42014,-165.91107177734375
1668345989.716664,42181,-110.8648681640625
1668345989.831418,42344,-114.03270721435547
1668345989.934108,42499,-28.79473114013672
1668345990.1719627,42760,-247.9639892578125
1668345990.2526321,42877,-104.74679565429688
1668345990.5713506,43277,-186.8432159423828
1668345990.8626752,43595,-100.85594940185547
1668345990.965044,43737,-91.21183013916016
1668345991.0836449,43898,-52.7530517578125
1668345991.2649896,44105,53.784576416015625
1668345991.4095454,44287,-215.52532958984375
1668345991.4863398,44391,-74.7351303100586
1668345991.5936043,44541,-70.80551147460938
1668345991.9614651,44830,-106.1265640258789
1668345992.1169355,44957,-21.704498291015625
1668345992.2103353,45077,-183.42355346679688
1668345992.2791522,45162,-146.736328125
1668345992.4031746,45326,-85.92704010009766
1668345992.4789717,45433,-130.82960510253906
1668345992.5815184,45580,-97.40111541748047
1668345993.0582724,45950,-9.099845886230469
1668345993.136065,46048,-89.23248291015625
1668345993.218843,46158,-120.56240844726562
1668345993.3183043,46313,-46.62922286987305
1668345993.5123403,46541,-158.54946899414062
1668345993.5944946,46643,-128.44961547851562
1668345993.764562,46881,-79.15906524658203
1668345993.8653173,47011,-115.83119201660156
1668345993.943424,47111,-7.168388366699219
1668345994.3482182,47512,-77.60580444335938
1668345994.4748452,47669,-74.92520141601562
1668345994.6465394,47837,-107.73381805419922
1668345994.798119,48026,-24.10205078125
1668345994.882671,48156,-127.65811157226562
1668345995.0495875,48373,-124.6238021850586
1668345995.1809888,48551,-44.62873458862305
1668345995.2814198,48692,-138.36422729492188
1668345995.5005414,48938,-4.267906188964844
1668345995.6482542,49137,-152.30938720703125
1668345995.7455404,49256,-129.2344512939453
1668345995.9570014,49495,-72.59471130371094
1668345996.037785,49596,-70.94688415527344
1668345996.2944043,49856,-140.0942840576172
1668345996.4461164,49993,-50.43077850341797
1668345996.5478857,50085,-96.2887954711914
1668345996.7799208,50293,-106.66719818115234
1668345997.0366743,50542,-73.09449005126953
1668345997.130423,50670,-123.61965942382812
1668345997.2634711,50830,-62.805908203125
1668345997.5628815,51052,-124.38392639160156
1668345997.8564956,51308,-74.2424087524414
1668345998.5790823,51875,-33.369667053222656
1668345998.7476153,52013,-48.932613372802734
1668345998.8645313,52121,-118.35800170898438
1668345998.9831483,52245,-88.18338012695312
1668345999.0822616,52374,-94.01522064208984
1668345999.181871,52479,-79.46417999267578
1668345999.3126357,52630,-129.35446166992188
1668345999.7648842,53013,-109.7599868774414
1668345999.880501,53172,-16.254592895507812
1668346000.0907261,53419,-39.61111068725586
1668346000.1829498,53550,-101.30760192871094
1668346000.3659909,53767,-131.9415283203125
1668346000.4981713,53953,-35.62693786621094
1668346000.7344382,54214,-100.64749145507812
1668346002.5643735,55308,-96.0283203125
1668346002.669093,55457,-51.19390106201172
1668346002.7494423,55570,-136.35385131835938
1668346002.8323593,55679,-89.45372009277344
1668346002.9939697,55886,-50.45870590209961
1668346003.0666552,55978,-75.25849914550781
1668346003.1414678,56087,-178.7947540283203
1668346003.2972622,56283,-62.89802169799805
1668346003.4140198,56396,-145.9546356201172
1668346003.581678,56563,-139.62423706054688
1668346003.9761634,56955,-77.637939453125
1668346004.1160707,57144,-127.0627212524414
1668346004.2497072,57321,-89.46769714355469
1668346004.4286566,57538,-203.3624725341797
1668346004.5355349,57683,-136.593505859375
1668346004.9140198,57896,-69.281982421875
1668346005.0805244,58006,-100.17941284179688
1668346005.2274742,58164,-127.27265167236328
1668346005.496736,58435,-53.9547119140625
1668346005.642717,58585,-52.74297332763672
1668346005.9812365,58865,-73.1620864868164
1668346006.2546115,59141,-40.860595703125
1668346006.3844082,59303,-54.355690002441406
1668346006.630976,59573,-193.08224487304688
1668346006.734032,59709,-93.09336853027344
1668346006.8984256,59909,-95.88945770263672
1668346007.0449805,60085,-5.138496398925781
1668346007.17957,60266,-90.56608581542969
1668346007.2661371,60394,-50.99229431152344
1668346007.562954,60607,3.6482620239257812
1668346009.4615216,61607,18.53017807006836
1668346009.8010943,61867,-126.08596801757812
1668346009.9989364,62019,-97.07007598876953
1668346010.2496374,62251,-8.483589172363281
1668346010.3325899,62345,-78.78176879882812
1668346010.4741483,62464,-69.7740478515625
1668346010.5848396,62587,-119.73696899414062
